nwt	New With Tags
ciao	Goodbye (in Italian)
fawc	For Anyone Who Cares
imjs	I'M Just Saying
mfrc	My Fingers Are Crossed
mws	My Wife Says
swag	Scientific Wild Ass Guess -or- SoftWare And Giveaways
inpo	In No Particular Order
stbx	Soon To Be Ex
tfds	That's For Darn Sure
ttyl	Talk To You Later -or- Type To You Later
swak	Sealed (or Sent) With A Kiss
iitm	It's In The Mail
ttyt	Talk To You Tomorrow
onud	Oh No You Didn't
mhyf	Move How You Feel
iyd	In Your Dreams
fouo	For Official Use Only
figs	French, Italian, German, Spanish
kudt	Dutch for f***ed up life
siup	Suck It Up Pussy
vbmg	Very Big Mischievous Grin
cmf	Count My Fingers
cmb	Call Me Back
l/m	Left Message
fogc	Fear Of Getting Caught
cmu	Crack Me Up
ifab	I Found A Bug
yacc	Yet Another Calendar Company
sobt	Stressed Out Big Time
ayce	All You Can Eat
nev	Neighborhood Electric Vehicle
iyq	I Like You
rlf	Real Life Friend
cula	See You Later Alligator
tntl	Trying Not To Laugh
lgbt	Lesbian, Gay, Bisexual, Transgender
dgtg	Don't Go There Girlfriend
noyb	None Of Your Business
gla	Good Luck All
glb	Good Looking Boy
glg	Good Looking Girl
wdr	With Due Respect
wdt	Who Does That?
aka	or a.k.a. Also Known As
drb	Dirty Rat Bastard
brt	Be Right There
bro	Be Right Over
brl	Belly Roll Laughs
jgmb	Just Google Me B*tch
kmba	Kiss My Black Ass
txt	MSG text message
txs	Thanks
brb	Be Right Back
dnd	Do Not Disturb
lymi	Love You, Mean It
dnc	Does Not Compute
lwr	Launch When Ready
apac	Asia-Pacific
bdsm	Bondage, Dominance, Sadism, Masochism
ysyd	Yeah, Sure You Do
ttys	Talk To You Soon
ltio	Laughing Til I Orgasm
musm	Miss You So Much
musl	Missing You Sh** Loads
ltic	Laughing 'Til I Cry
lore	Learn Once, Repeat Everywhere
jmo	Just My Opinion
mva	w/PI Motor Vehicle Accident with Personal Injury
onid	Oh No I Didn't
md	Doctor of Medicine -or- Managing Director
mf	My Friend
ma	Mature Audience
mb	Message Board
mm	Market Maker -or- Merry Meet
mo	Move On
tnx	Thanks
mt	empty -or- Modified Tweet
tna	Temporarily Not Available
tnc	Tongue In Cheek
ta	Thanks Again
ygm	You've Got Mail
gtsy	Glad To See You
iggp	I Gotta Go Pee
ttfn	Ta Ta For Now
hot	PIC Hot Picture, as in sexy or naked
iiio	Intel Inside, Idiot Outside
ruok	Are You OK?
adip	Another Day In Paradise
lumu	Love You Miss You
lhso	Let's Have Sex Online
gmta	ASDO Great Minds Think Alike, And So Do Ours
ova	it means over
adih	Another Day In Hell
laq	Lame Ass Quote
vfm	Value For Money
wknd	it means weekend
etla	ETLA Extended Three-Letter Acronym (that is, an FLA)
ryfm	Read Your Friendly Manual
wuz	was
fifo	First In, First Out
hbic	Head Bitch In Charge
hbib	Hot But Inappropriate Boy
nsfw	Not Safe For Work
wuf	Where You From
rkba	Right to Keep and Bear Arms
ima	I Might Add
clm	Career Limiting Move
ime	In My Experience
cld	it means cold
imo	In My Opinion
wtgp	Want To Go Private?
icyc	In Case You're Curious -or- In Case You Care
uok	Are You OK?
fofl	Falling on Floor Laughing
fil	Father-In-Law
yttt	You Telling The Truth?
rbtl	Read Between The Lines
yttm	You Talk Too Much
ttul	Talk To You Later
srlb	Spoiled Rotten Little Brat
crbt	Crying Real Big Tears
wtmc	What The Mother C***
suyf	Shut Up You Fool
c%d	it means could
c%l	it means cool
nih	Not Invented Here
mdr	Mort De Rire
osif	Oh Sh** I Forgot
rt	Real Time -or- ReTweet
gol	Giggling Out Loud
goi	Get Over It
gok	God Only Knows
nim	No Internal Message
rx	Regards
gob	Game On B*tcheeez
re	Regards -or- Reply -or- Hello Again
rc	Remote Control
rl	Real Life
rm	Remake
rn	Right Now
smd	Suck My Dick
smb	Suck My Balls
gos	Gay Or Straight
nitl	Not In This Lifetime
fcfs	First Come, First Served
inbd	It's No Big Deal
ntw	Not To Worry
fred	F***ing Ridiculous Electronic Device
tcob	Taking Care Of Business
nth	nothing
ntk	Nice To Know
ntm	Not That Much
ntl	nonetheless
nta	Not This Again
hand	Have a Nice Day
pmsl	Pissed MySelf Laughing
atc	Any Two Cards
angb	Almost Nearly Good Bridge
iss	I Said So -or- I'm So Sure
sahm	Stay At Home Mom
iswc	If Stupid Were a Crime
atm	At The Moment, Asynchronous Transfer Mode, Automated Teller Machine
wrud	What Are You Doing?
atw	All The Web, Around The Web, All The Way, At The Weekend
ish	Insert Sarcasm Here
iso	In Search Of
fupa	Fat Upper Pussy Area
wckd	it means wicked
kfy	-or- K4Y Kiss For You
toy	Thinking Of You
tot	Tons Of Time
tom	Tomorrow
kewl	it means cool
toon	short for cartoon
ntim	Not That It Matters
tgal	Think Globally, Act Locally
ycmu	You Crack Me Up
nofi	No OFfence Intended
raf	Random As F***
lbs	Laughing But Serious
lbr	and LGR Little Boy's Room and Little Girl's Room
lulu	Locally Undesireable Land Use
rat	Remotely Activated Trojan -or- Remote Access Tool
lbh	Let's Be Honest
mins	Minutes
vgn	Vegan -or- Vegetarian
nwr	Not Work Related
doin	it means doing
tyg	There You Go -or- Thank You God
bsf	But Seriously, Folks
qyb	Quit Your Bitching
doc	Drug Of Choice
doa	Dead On Arrival
doe	Depends On Experience
aunt	And U Know This
lylb	Love You Later Bye
lpc	Lead Pipe Cinch
sul	Snooze You Lose
ysan	You're Such A Nerd
cmiw	Correct Me if I'm Wrong
smt	something
ocd	Obsessive Compulsive Disorder
udm	You're the Man
dl	Down Low -or- Download -or- Dead Link
dm	Direct Message
dk	Don't Know
dh	Dear Husband
df	Dear Friend
dd	Due Diligence
da	there
dw	Don't Worry
dp	Domestic Partner
lmao	Laughing My Ass Off
qotd	Quote Of The Day
twss	That's What She Said
bau	Business As Usual
ema	E-Mail Address
eml	Email Me Later
l?^	Let's hook up
bag	Busting A Gut -or- Big Ass Grin
bac	Bad Ass Chick
ftbl	Football
sux	sucks
bak	Back At Keyboard
innw	If Not Now When?
cico	Coffee In, Coffee Out
w/	With
imho	In My Humble Opinion
nub	New person to a site or game
saia	Stupid Asses In Action
iirc	If I Remember Correctly -or- If I Recall Correctly
pyfb	Pay Your F***ing Bill
rmmm	Read My Mail Man
dltm	Don't Lie To Me
wg	Wicked Grin
omb	Oh My Buddha
we	Whatever
omg	Oh My God
wb	Welcome Back -or- Write Back
ome	Oh My Evolution
fiik	F*** If I Know
wk	it means week
rgr	Roger
meh	Who cares, whatever
wtb	Want To Buy
wt	Without Thinking -or- What The -or- Who The
omw	On My Way -or- Oh My Word
wtf	What The F***
wp	Well Played
wth	What The Heck
news	North, East, West, South
wtn	What Then Now? -or- Who Then Now?
wx	Weather
